firm_id,Y_observed,Y_optimal,deviation_D,KPI,status
firm_01,51.6313,59.87692125729389,0.14816305,0.8622904938304682,inefficient
firm_02,78.2531,78.25309994143612,0.0,1.0000000007483907,efficient
firm_03,50.2209,50.22090056535533,0.0,0.9999999887426286,efficient
firm_04,48.3744,79.83643621211468,0.50100923,0.6059188297367849,inefficient
firm_05,35.9318,35.931887649901284,2.4269623e-06,0.9999975606652749,efficient
firm_06,56.1743,68.72647987726828,0.2016752,0.8173603551399119,inefficient
firm_07,77.1866,77.186598744698,0.0,1.0000000162632117,efficient
firm_08,37.1089,37.10895403101731,1.439649e-06,0.9999985439897533,efficient
firm_09,26.8678,26.867813166637102,4.7244235e-07,0.999999509947571,efficient
firm_10,59.009,73.40463978641172,0.21829715,0.8038865141454373,inefficient
firm_11,41.4909,53.784338482613386,0.25950817,0.7714308880718608,inefficient
firm_12,72.0375,93.10983368859519,0.25659297,0.7736830487843918,inefficient
firm_13,28.3304,42.18477568354599,0.39812394,0.6715787755403465,inefficient
firm_14,23.6026,23.602600403126367,0.0,0.9999999829202562,efficient
firm_15,46.1025,46.10254472983704,9.5764162e-07,0.9999990297750958,efficient
firm_16,88.4951,88.49510154375726,0.0,0.9999999825554495,efficient
firm_17,29.7385,41.68494536135909,0.33769752,0.7134110346601737,inefficient
firm_18,31.3847,35.209918993474915,0.1150073,0.8913596195951543,inefficient
firm_19,37.0052,37.0052653678454,1.7540712e-06,0.9999982335528539,efficient
firm_20,28.8244,50.276277108732955,0.55631107,0.5733200956320058,inefficient
